alcohol	醇	酒
anchor 锚	新闻主播
assembly	部件	集会
associate	关联	‪合作者‬
ballplayer	球坛	球员
branch	科	分支
bus	总线	公共汽车
carrier	支架	運送者
carnival	狂欢	狂欢节
crash	紧急	碰撞
decade	十	十年
endowment	天赋	捐赠
episode	插曲	一集
figure	数字	人物
footage	镜头	视频
fortune	幸运	财富
fugitive	逃亡	逃犯
fun	开玩笑	乐趣
gang	结伙	帮
gas	加油站	气体
gathering	搜集	聚会
grant	发放	 补助金
gross	毛	总和
guard	守护	守卫
help	救命	帮助
herb	草本植物	药草
hub	毂	中心
insight	眼光	见解
lead	铅	领导
machine	机	机器
major	重大的	少校
merit	值得	优点
metropolitan	宗主	大都市
migrant	农民	移民
mortgage	抵押	贷款
multitude	苠	众多
narrative	叙述	故事
object	宾语	物体
opening	开盘	开始
outfit	配备	服装
phase	相	阶段
pick	挑	选择
piece	片	碎片
pile	桩	一堆
pill	丸	药丸
pitch	沥青	球场
plain	川	平原
plant	厂	植物
play	玩	戏剧
power	功率	力量
press	按	媒体
principal	主要	校长
procession	游行	队伍
process	处理	过程
promoter	启动	提倡者
property	属性	财产
public	上市	大众
quarter	25美分硬币	四分之一
question	题	问题
racetrack	跑马场	跑道
radical	基	激进分子
rally	团结	集会
rank	秩	职位
regulation	规	法规
residency	住院医师	居住
resolution	解析度	决议
saying	话	谚语
scenario	脚本	局面
sector	扇形	部门
shuttle	穿梭	接驳车
solution	解	解决办法
speaker	扬声器	说话者
standing	常设	声誉
star	星	明星
suit	适合	套装
summit	首脑	峰会
suspect	疑似	嫌疑犯
tension	张力	紧张局势
threshold	阈	门槛
transgression	愆	犯罪
valet	代客	代客泊车者
wall	壁	墙壁
waste	浪费	废物
watch	看	手表
zone	区	地区






