abduction	绑架
ability	能力
abuse	滥用
academician	院士
academy	学院
accent	口音
acceptance	验收
access	访问
accident	事故
acclaim	欢呼
accomplishment	成就
accord	符合
account_executive	业务经理
accuracy	准确性
accusation	指控
accused	被告
accuser	原告
achiever	成功者
acid	酸
acquaintance	熟人
acquisition	获得
act	法案
action	行动
activeness	活跃
activist	活动家
activity	活动
actor	演员
actress	演员
addition	加成
address	地址
adjudicator	评判员
adjustment	调整
administration	管理
administrator	管理员
admiral	上将
admission	入场
adolescent	青少年
adoption	采用
adult	成人
advance	预先
advancement	进步
advantage	优点
adversary	对手
adversity	逆境
advertiser	广告
advertising	广告
advice	忠告
adviser	顾问
advocate	主张
affair	事务
affect	影响
affiliation	联系
affirmation	肯定
afternoon	下午
age	年龄
age_group	年龄阶层
aged	老
agency	机构
agenda	议程
agent	代理人
aggression	侵略
agreement	协议
aid	援助
aide	助手
aim	目标
air_force	空军
air_pollution	空气污染
air_terminal	空运站
aircraft	飞机
aircraft_carrier	航空母舰
airfield	机场
airline	航空公司
airliner	客机
airplane	飞机
airport	飞机场
alarm	报警
album	专辑
alcohol	醇
alert	警报
allegation	断言
alliance	联盟
allocation	分配
ally	盟国
alteration	改造
ambassador	大使
ambush	伏击
amendment	修订
amnesty	大赦
amount	量
analysis	分析
analyst	分析人士
anchor	锚
ancient	古
angel	天使
anger	愤怒
angle	角度
animal	动物
animation	动画
anniversary	周年
announcement	公告
announcer	播音员
annual	全年
answer	回答
anticipation	预期
apartment_building	公寓楼
apology	歉意
apparatus	仪器
apparel	服饰
appearance	出现
applicant	申请人
application	应用
applied_mathematics	应用数学
appointment	约定
appraisal	评价
approach	途径
approval	赞同
archbishop	大主教
archeologist	考古学家
architect	建筑师
architecture	建筑
area	区域
arena	竞技场
argument	争论
aristocrat	贵族
arm	臂
armor	盔甲
army	军队
arrangement	安排
arrival	到达
art	艺术
article	文章
articulator	发音器官
artifact	神器
artillery	炮兵
artist	艺术家
artwork	艺术品
ascent	上升
ash	灰
asking	问
assault	突击
assembly	部件
assertion	断言
assessment	评定
asset	财富
assignment	分配
assistant	助理
associate	关联
association	协会
assumption	假设
assurance	保证
asteroid	小行星
astronaut	宇航员
athlete	运动员
athletics	竞技
atmosphere	大气层
atomic_energy	原子能
atrocity	暴行
attack	攻击
attacker	攻击者
attempt	尝试
attention	注意
attire	服装
attitude	态度
attorney	律师
attorney_general	总检察长
attraction	引力
audience	听众
audio	音频
auditorium	礼堂
author	作者
authoritarian	独裁的
authority	权威
authorization	授权
aviator	飞行员
award	奖
awareness	意识
baby	宝宝
back	背部
backing	后盾
bag	袋
baggage	行李
ball	球
ball_game	球赛
ballet	芭蕾舞
ballot	选票
ballplayer	球坛
ban	禁止
band	带
bang	砰
bank	银行
banker	银行家
bankruptcy	破产
banner	旗帜
bargain	讨价还价
baron	男爵
barrage	弹幕
barrier	屏障
base	基础
baseball	棒球
baseball_player	棒球选手
basis	基础
basket	篮
basketball	篮球
basketball_player	篮球运动员
bassist	贝斯手
batch	批量
battalion	营
batter	面糊
battery	电池
battle	战斗
beach	海滩
