a_cup	一杯

a_game	一个游戏

a_level	一个等级

a_lot	很多

a_team	一个团队

abandon	放弃

abbey	僧院

abduction	绑架

ability	能力

able	能够

aboriginal	土著

abortion	流产

abroad	国外

absence	缺席

absolute	绝对

abstract	抽象

absurd	荒诞

abuse	滥用

academic	学术的

academic_discipline	学术学科

academic_institution	学术机构

academician	院士

academy	学院

academy_award	学术奖

accent	口音

acceptance	验收

access	访问

access_code	访问代码

access_control	访问控制

access_point	切入点

access_road	通路

access_time	访问时间

accession	加入

accident	事故

accidental	偶然

acclaim	欢呼

accommodation	住所

accompanying	随同

accomplishment	成就

accord	符合

accordance	根据

account_executive	业务经理

account_manager	客户经理

account_statement	帐户对帐单

accountability	问责

accounting	会计

accounting_profit	会计利润

accuracy	准确性

accusation	指控

accused	被告

accuser	原告

ace	高手

achievement	成就

achiever	成功者

acid	酸

acid_house	酸房

acid_jazz	酸性爵士

acid_rain	酸雨

acid_rock	酸性岩

acid_test	酸测试

acoustic	声

acquaintance	熟人

acquisition	获得

acre	英亩

across	横过

act	法案

acting	演戏

action	行动

action_adventure	动作冒险

action_figure	动作人物

action_film	动作电影

action_group	行动小组

action_hero	动作英雄

action_man	行动人

action_movie	动作片

action_painting	动作绘画

action_plan	行动计划

action_potential	动作电位

action_star	动作明星

active	活性

active_volcano	活火山

activeness	活跃

activist	活动家

activity	活动

actor	演员

actress	演员

actual	实际

adaptation	适应

add	加

addiction	瘾

addition	加成

addition_reaction	加成反应

address	地址

address_bar	地址栏

address_book	地址簿

address_space	地址空间

adjacent	邻

adjudicator	评判员

adjustment	调整

administration	管理

administrative_law	行政法规

administrator	管理员

admiral	上将

admission	入场

adolescent	青少年

adoption	采用

adult	成人

advance	预先

advance_guard	先进警卫

advancement	进步

advantage	优点

adventure	冒险

adventure_game	冒险游戏

adversary	对手

adversity	逆境

advertisement	广告

advertiser	广告

advertising	广告

advice	忠告

adviser	顾问

advisor	顾问

advisory	咨询

advocacy	拥护

advocate	主张

aerial	天线

aerospace	航天

affair	事务

affect	影响

affiliate	子公司

affiliate_marketing	会员营销

affiliate_network	会员网络

affiliation	联系

affirmation	肯定

afghan	阿富汗

aftermath	后果

afternoon	下午

afternoon_tea	下午茶

age	年龄

age_group	年龄阶层

age_limit	年龄限制

aged	老

agency	机构

agenda	议程

agent	代理人

aggregate	骨料

aggression	侵略

aging	老化

agreement	协议

agricultural_revolution	农业革命

agriculture	农业

aid	援助

aid_worker	救援人员

aide	助手

aim	目标

air	空气

air_ambulance	空中救护车

air_bag	安全气囊

air_base	空军基地

air_brake	空气制动器

air_bridge	空中桥

air_bubble	气泡

air_cargo	空运货物

air_carrier	航空母舰

air_corridor	空中走廊

air_drill	气钻

air_filter	空气过滤器

air_flow	空气流动

air_force	空军

air_guitar	空气吉他

air_gun	气枪

air_mail	航空邮件

air_marshal	中将

air_mass	气团

air_mile	空中英里

air_navigation	空中航行

air_photo	空中照片

air_piracy	空中盗版

air_pistol	气枪

air_plant	空气厂

air_pocket	气袋

air_pollution	空气污染

air_pressure	空气压力

air_pump	气泵

air_raid	空袭

air_resistance	空气阻力

air_rifle	气枪

air_shaft	通风井

air_show	航展

air_sign	空气标志

