accident	事故
actor	演员
agency	机构
airline	航空公司
airplane	飞机
airport	飞机场
animal	动物
architect	建筑师
army	军队
art	艺术
artist	艺术家
athlete	运动员
attack	攻击
author	作者
award	奖
biology	生物学
body_part	身体的一部分
bridge	桥
broadcast	广播
broadcast_station	广播电台
building	建造
car	汽车
cemetery	公墓
chemistry	化学
city	市
coach	教练
company	公司
computer	电脑
conflict	冲突
country	国家
county	县
currency	货币
degree	学位
department	部
director	导向器
disease	疾病
doctor	医生
drug	药物
education	教育
election	选举
engineer	工程师
ethnic_group	民族
facility	设施
film	电影
finance	金融
food	餐饮
game	游戏
geography	地理
god	神
government	政府
health	健康
heritage	遗产
holiday	假日
hospital	医院
hotel	旅馆
institution	机构
instrument	仪器
internet	互联网
island	岛
language	语言
law	法
lawyer	律师
league	联盟
legal	法律
leisure	闲暇
library	图书馆
mass_transit	轨道交通
medicine	医学
military	军事
mobile_phone	移动电话
monarch	君主
mountain	山
music	音乐
musician	音乐家
music_school	音乐学校
natural_disaster	自然灾害
news	新闻
news_agency	通讯社
other	其他
park	公园
planet	行星
play	玩
political_party	政治党派
politician	政治家
product	产品
programming_language	程式语言
protest	抗议
province	省
rail	轨
railway	铁路
religion	宗教
religious_leader	宗教领袖
restaurant	餐厅
road	路
scientific_method	科学的方法
ship	船
sign	标志
society	社会
software	软件
soldier	士兵
spacecraft	宇宙飞船
sport	运动
stage	阶段
stock_exchange	股票交易
structure	结构体
subway	地铁
team	球队
television_channel	电视频道
television_network	电视网
television_program	电视节目
theater	剧院
title	标题
train	培养
transit	过境
transportation	运输
treatment	治疗
water	水
weapon	武器
website	网站
writing	写作
abbey	僧院
